"filename", "language", "Dart", "comment", "blank", "total"
"d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\views\root\profile\components\view_user_jokes_button.dart", "Dart", 23, 7, 3, 33
"d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\views\root\profile\profile_view.dart", "Dart", 87, 5, 9, 101
"d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\views\root\root_view.dart", "Dart", 70, 2, 5, 77
"d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\views\root\write\components\background_write_view_circles.dart", "Dart", 105, 4, 12, 121
"d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\views\root\write\components\clear_all_button.dart", "Dart", 45, 2, 7, 54
"d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\views\root\write\components\done_button.dart", "Dart", 34, 3, 5, 42
"d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\views\root\write\components\joke_explanation_input_field.dart", "Dart", 47, 3, 5, 55
"d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\views\root\write\components\joke_text_input_field.dart", "Dart", 50, 3, 7, 60
"d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\views\root\write\components\joke_title_input_field.dart", "Dart", 44, 3, 5, 52
"d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\views\root\write\write_view.dart", "Dart", 102, 2, 10, 114
"Total", "-", 4690, 483, 664, 5837
